"INDEKS","SMER","DUZINA_STUDIRANJA","POLOZENO_ISPITA","PROSEK"
"20060368","Racunarstvo i informatika","3","40","8.77"
"20060378","Profesor matematike i racunarstva","4","38","6.84"
"20060386","Informatika","6","38","7.05"
"20060391","Informatika","3","30","6.76"
"20070021","Profesor matematike i racunarstva","5","38","7.63"
"20070024","Teorijska matematika i primene","4","40","9.37"
"20070025","Informatika","3","30","9.50"
"20070027","Statistika, aktuarska i finansijska matematika","4","39","7.48"
"20070028","Profesor matematike i racunarstva","4","38","8.76"
"20070029","Statistika, aktuarska i finansijska matematika","5","40","7.77"
"20070030","Racunarstvo i informatika","5","40","9.07"
"20070031","Statistika, aktuarska i finansijska matematika","5","41","7.56"
"20070032","Racunarstvo i informatika","4","40","8.00"
"20070034","Profesor matematike i racunarstva","4","38","7.15"
"20070035","Statistika, aktuarska i finansijska matematika","4","39","8.53"
"20070036","Racunarstvo i informatika","4","41","8.97"
"20070037","Astrofizika","4","33","9.36"
"20070039","Profesor matematike i racunarstva","4","38","7.68"
"20070040","Informatika","4","30","7.46"
"20070041","Profesor matematike i racunarstva","6","38","7.13"
"20070044","Teorijska matematika i primene","4","39","9.61"
"20070045","Profesor matematike i racunarstva","4","38","8.26"
"20070048","Statistika, aktuarska i finansijska matematika","4","41","9.29"
"20070049","Statistika, aktuarska i finansijska matematika","4","41","7.75"
"20070054","Informatika","3","30","7.13"
"20070055","Informatika","5","30","6.60"
"20070056","Profesor matematike i racunarstva","4","38","7.68"
"20070059","Informatika","6","29","7.17"
"20070060","Teorijska matematika i primene","4","39","8.41"
"20070061","Profesor matematike i racunarstva","5","38","7.63"
"20070063","Informatika","6","30","6.63"
"20070064","Informatika","5","34","6.64"
"20070066","Profesor matematike i racunarstva","6","37","7.00"
"20070067","Profesor matematike i racunarstva","5","38","7.21"
"20070072","Statistika, aktuarska i finansijska matematika","5","39","8.58"
"20070073","Statistika, aktuarska i finansijska matematika","5","39","7.56"
"20070081","Statistika, aktuarska i finansijska matematika","4","39","8.23"
"20070082","Profesor matematike i racunarstva","6","37","7.56"
"20070085","Racunarstvo i informatika","4","42","9.30"
"20070086","Profesor matematike i racunarstva","5","38","8.00"
"20070088","Racunarstvo i informatika","6","40","7.57"
"20070089","Racunarstvo i informatika","6","40","7.07"
"20070092","Racunarstvo i informatika","4","40","9.25"
"20070094","Profesor matematike i racunarstva","6","38","7.57"
"20070095","Racunarstvo i informatika","4","41","9.00"
"20070096","Profesor matematike i racunarstva","5","38","8.63"
"20070097","Racunarstvo i informatika","5","40","9.12"
"20070098","Informatika","4","34","7.73"
"20070104","Racunarstvo i informatika","4","40","9.62"
"20070105","Statistika, aktuarska i finansijska matematika","4","41","8.02"
"20070106","Informatika","3","30","9.33"
"20070107","Profesor matematike i racunarstva","4","38","7.68"
"20070108","Profesor matematike i racunarstva","4","39","9.00"
"20070109","Racunarstvo i informatika","4","40","9.80"
"20070112","Numericka matematika i optimizacija","3","40","9.87"
"20070114","Racunarstvo i informatika","5","41","7.80"
"20070115","Racunarstvo i informatika","5","40","7.32"
"20070116","Informatika","3","30","7.13"
"20070118","Statistika, aktuarska i finansijska matematika","4","40","7.70"
"20070119","Profesor matematike i racunarstva","5","41","7.78"
"20070122","Racunarstvo i informatika","4","40","9.97"
"20070123","Statistika, aktuarska i finansijska matematika","5","41","8.02"
"20070134","Statistika, aktuarska i finansijska matematika","4","41","10.00"
"20070137","Racunarstvo i informatika","6","40","8.35"
"20070138","Informatika","6","30","7.23"
"20070140","Informatika","3","30","7.53"
"20070143","Informatika","3","30","7.13"
"20070144","Profesor matematike i racunarstva","5","38","7.39"
"20070147","Teorijska matematika i primene","3","43","9.97"
"20070148","Profesor matematike i racunarstva","4","38","9.47"
"20070149","Statistika, aktuarska i finansijska matematika","6","41","7.78"
"20070153","Profesor matematike i racunarstva","4","38","7.57"
"20070155","Informatika","5","30","7.36"
"20070156","Statistika, aktuarska i finansijska matematika","4","39","7.53"
"20070157","Statistika, aktuarska i finansijska matematika","4","41","8.31"
"20070158","Profesor matematike i racunarstva","4","38","8.00"
"20070159","Informatika","4","35","7.31"
"20070160","Statistika, aktuarska i finansijska matematika","5","38","7.47"
"20070162","Racunarstvo i informatika","4","40","7.72"
"20070164","Profesor matematike i racunarstva","4","38","8.57"
"20070167","Racunarstvo i informatika","6","39","6.71"
"20070170","Astrofizika","6","34","9.00"
"20070172","Statistika, aktuarska i finansijska matematika","4","40","9.60"
"20070173","Statistika, aktuarska i finansijska matematika","4","39","8.30"
"20070174","Profesor matematike i racunarstva","6","38","7.07"
"20070179","Teorijska matematika i primene","4","41","9.63"
"20070180","Profesor matematike i racunarstva","4","38","7.57"
"20070182","Informatika","4","30","7.06"
"20070183","Informatika","4","30","8.53"
"20070189","Astrofizika","4","34","9.32"
"20070191","Racunarstvo i informatika","4","40","9.07"
"20070192","Informatika","3","30","9.40"
"20070194","Statistika, aktuarska i finansijska matematika","6","40","7.07"
"20070197","Teorijska matematika i primene","3","39","9.82"
"20070199","Informatika","3","30","8.60"
"20070203","Profesor matematike i racunarstva","4","38","8.34"
"20070208","Profesor matematike i racunarstva","6","38","7.34"
"20070212","Profesor matematike i racunarstva","4","38","9.15"
"20070213","Teorijska matematika i primene","4","39","9.71"
"20070217","Profesor matematike i racunarstva","4","38","8.05"
"20070230","Informatika","3","30","9.36"
"20070240","Statistika, aktuarska i finansijska matematika","4","39","9.46"
"20070272","Informatika","4","32","7.37"
"20070276","Informatika","6","30","8.83"
"20070283","Informatika","5","30","7.76"
"20070288","Racunarstvo i informatika","5","41","7.31"
"20070290","Racunarstvo i informatika","5","40","7.02"
"20070292","Racunarstvo i informatika","4","40","8.10"
"20070293","Racunarstvo i informatika","4","39","7.07"
"20070298","Informatika","5","29","6.79"
"20070299","Astrofizika","3","33","9.18"
"20080024","Informatika","3","30","8.06"
"20080025","Statistika, aktuarska i finansijska matematika","4","39","9.53"
"20080028","Astrofizika","5","30","9.20"
"20080030","Informatika","3","30","8.66"
"20080032","Informatika","3","30","8.30"
"20080033","Statistika, aktuarska i finansijska matematika","4","38","8.10"
"20080039","Profesor matematike i racunarstva","4","37","7.86"
"20080041","Profesor matematike i racunarstva","4","38","7.55"
"20080042","Informatika","4","29","7.03"
"20080043","Informatika","3","30","8.86"
"20080044","Profesor matematike i racunarstva","5","38","7.78"
"20080046","Profesor matematike i racunarstva","5","37","7.02"
"20080050","Profesor matematike i racunarstva","4","38","6.97"
"20080056","Informatika","4","30","7.50"
"20080060","Racunarstvo i informatika","4","40","9.60"
"20080061","Statistika, aktuarska i finansijska matematika","4","39","9.43"
"20080063","Racunarstvo i informatika","4","38","9.86"
"20080064","Informatika","3","30","9.30"
"20080065","Racunarstvo i informatika","4","40","7.67"
"20080066","Profesor matematike i racunarstva","4","38","9.63"
"20080071","Profesor matematike i racunarstva","5","38","6.81"
